название;цена;ссылка
  Peg Perego Siesta стульчик для кормления  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/peg_perego_siesta_stulchik_dlya_kormleniya_1210445017
  Слинг на кольцах Diva Essenza  ;1800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/sling_na_koltsah_diva_essenza_1831417410
  Коляска cam evolution cortina x3  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_cam_evolution_cortina_x3_1796601652
  Самокат oxelo  ;18500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/samokat_oxelo_1219685133
  Детская кухня  ;70₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskaya_kuhnya_1849492509
  Детское постельное белье автоботы  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskoe_postelnoe_bele_avtoboty_1796287379
  Коляска трость Maclaren Techno XT 2017  ;3500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_trost_maclaren_techno_xt_2017_1811499472
  Коляска Валко Бэби Снэп Valco Baby Snap  ;1800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_valko_bebi_snep_valco_baby_snap_1812126848
  Кпб Добрые феи  ;9000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kpb_dobrye_fei_1390028847
  Самокат трюковой с 2-мя пегами цвет нео хром  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/samokat_tryukovoy_s_2-mya_pegami_tsvet_neo_hrom_1810644708
  Электромобиль  ;12950₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/elektromobil_1778313661
  Прогулочная коляска Gesslein F4 Air  ;19000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/progulochnaya_kolyaska_gesslein_f4_air_1668251562
  Коляска Teutonia Bliss  ;20000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_teutonia_bliss_1792908916
  Отдам детское пюре  ;Бесплатно;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/otdam_detskoe_pyure_1851614499
  Avent philips  ;Бесплатно;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avent_philips_1823948753
  Кисломолочная смесь 2  ;2₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kislomolochnaya_smes_2_1806514172
  Продаю коляску Smart kids 2 в 1(почти новая)  ;37900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodayu_kolyasku_smart_kids_2_v_1pochti_novaya_1801070784
  Робот Lego Star Wars  ;4000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/robot_lego_star_wars_745132803
  Манеж happy baby 60x120  ;10990₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/manezh_happy_baby_60x120_1843331711
  LOL Hairspray  ;8500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lol_hairspray_1837992323
  Смесь малютка 2  ;2500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/smes_malyutka_2_1847450210
  Конюшня lori  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konyushnya_lori_1843938018
  Продаю коляску Quinny Zapp  ;5999₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodayu_kolyasku_quinny_zapp_1098558082
  Детские качели swing tako 2  ;4950₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskie_kacheli_swing_tako_2_1827478381
  Пароварка-блендер 2в1 Philips avent  ;1900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/parovarka-blender_2v1_philips_avent_1837472885
  Коляска 3 в 1 Peg Perego  ;10₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_3_v_1_peg_perego_1790121415
  Точилки Faber Castell  ;100₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/tochilki_faber_castell_1521532483
  Горшок BabyBjorn  ;3000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/gorshok_babybjorn_1831617739
  Продам автокресло от 0  ;3500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodam_avtokreslo_ot_0_1667078343
  Автомобильное кресло Emily  ;1200₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtomobilnoe_kreslo_emily_1849707034
  Ходунки каталка сортер  ;6000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/hodunki_katalka_sorter_1789345920
  Кокон Red castle  ;21000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kokon_red_castle_1833667378
  Коляска roan Marita 2 в 1  ;2500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_roan_marita_2_v_1_1263761370
  Коляска hartan topline s  ;600₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_hartan_topline_s_1838293277
  Коляска peg perego book plus pop up  ;1300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_peg_perego_book_plus_pop_up_1818625076
  Автокресло Chicco  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtokreslo_chicco_1818678853
  Мольберт winner  ;700₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/molbert_winner_1816820566
  Tutis mimi style 2в 1  ;7500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/tutis_mimi_style_2v_1_1795981291
  Смесь сухая молочная Беллакт Оптимум 2+  ;3700₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/smes_suhaya_molochnaya_bellakt_optimum_2_1840867860
  Продаю коляску Inglesina м. Медведково  ;10500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodayu_kolyasku_inglesina_m._medvedkovo_1684733161
  Peg Perego Siesta стульчик для кормления  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/peg_perego_siesta_stulchik_dlya_kormleniya_1210445017
  Слинг на кольцах Diva Essenza  ;1800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/sling_na_koltsah_diva_essenza_1831417410
  Коляска cam evolution cortina x3  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_cam_evolution_cortina_x3_1796601652
  Самокат oxelo  ;18500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/samokat_oxelo_1219685133
  Детская кухня  ;70₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskaya_kuhnya_1849492509
  Детское постельное белье автоботы  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskoe_postelnoe_bele_avtoboty_1796287379
  Коляска трость Maclaren Techno XT 2017  ;3500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_trost_maclaren_techno_xt_2017_1811499472
  Коляска Валко Бэби Снэп Valco Baby Snap  ;1800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_valko_bebi_snep_valco_baby_snap_1812126848
  Кпб Добрые феи  ;9000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kpb_dobrye_fei_1390028847
  Компактный мини диванчик Мультик в наличии  ;15900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kompaktnyy_mini_divanchik_multik_v_nalichii_890530954
  Navington Caravel люлька  ;12000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/navington_caravel_lyulka_1792356937
  Кроватка трансформер 9 в 1 аналог Stokke и ellipse  ;10000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/krovatka_transformer_9_v_1_analog_stokke_i_ellipse_1845363822
  Коляска 2в1 BeBe mobile классическая от 0 до 3 лет  ;12000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_2v1_bebe_mobile_klassicheskaya_ot_0_do_3_let_1482428300
  Манеж Happy Baby Alex Sand  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/manezh_happy_baby_alex_sand_1803806615
  Ходунки  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/hodunki_1769044190
  Автомобильное кресло  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtomobilnoe_kreslo_1604641454
  Продам школьный рюкзак # 1 School  ;18290₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodam_shkolnyy_ryukzak_1_school_1357878684
  Смесь Малютка 2  ;390₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/smes_malyutka_2_1808548278
  Vtech железная дорога  ;2500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/vtech_zheleznaya_doroga_1003131154
  Коляска автокресло Foofoo  ;800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_avtokreslo_foofoo_1823639707
  Контейнер ящик  ;100₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konteyner_yaschik_1546695276
  Игрушки пакетом  ;3000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrushki_paketom_1309809753
  Новая сумка - рюкзак  ;6500₽ ;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/novaya_sumka_-_ryukzak_863802591
  CAM cortina Evolution  ;2590₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/cam_cortina_evolution_1760137950
  Коляска Teutonia Bliss  ;3000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_teutonia_bliss_1792908916
  Ходунки HB  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/hodunki_hb_1832120748
  Эргорюкзак ergo baby китай  ;850₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/ergoryukzak_ergo_baby_kitay_1823157555
  Кукла  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kukla_891695719
  Бустер автокресло. Новый. 15-36 кг Цвет13+др.цвета  ;890₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/buster_avtokreslo._novyy._15-36_kg_tsvet13dr.tsveta_1806056563
  Коляска maxi cosi mura прогулочный элемент. Без ша  ;3000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_maxi_cosi_mura_progulochnyy_element._bez_sha_1804040952
  Конверт зимний stokke  ;20000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konvert_zimniy_stokke_1805927916
  Игровые наборы  ;900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrovye_nabory_1814231545
  Коляска Jetem Orion 4  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_jetem_orion_4_1806721017
  Постельное белье Гномики  ;1₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/postelnoe_bele_gnomiki_1717303457
  Коляска tutis zippy orbit 3в1 модель новая  ;950₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_tutis_zippy_orbit_3v1_model_novaya_1849560336
  Lego и аналог Детали и человечки  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_i_analog_detali_i_chelovechki_1830511189
  Каталка-ходунки Winfun Grow-With-Me Musical Walker  ;9000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/katalka-hodunki_winfun_grow-with-me_musical_walker_1420640451
  Рюкзак - сумка Зайка новый  ;100₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/ryukzak_-_sumka_zayka_novyy_974464935
  Мобиль Tiny Love  ;4500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/mobil_tiny_love_1842164222
  Трусики Merries  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/trusiki_merries_1799098890
  Автомобильная детская подушка  ;9500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtomobilnaya_detskaya_podushka_1836367525
  Прыгунки Jetem  ;30₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prygunki_jetem_1508308813
  Деткий манеж  ;800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva_zelenograd/tovary_dlya_detey_i_igrushki/detkiy_manezh_1846077915
  Ооак кукла Хрюша  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/ooak_kukla_hryusha_1006801869
  Прогулочная коляска hauck Viper  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/progulochnaya_kolyaska_hauck_viper_1762340438
  Бутылочки и пустышки  ;999₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/butylochki_i_pustyshki_1850610710
  Коляска peg Perego 3в1  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_peg_perego_3v1_1711374890
  Подгузники - трусики  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/podguzniki_-_trusiki_1852746554
  Конверт elodie details оригинал  ;700₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konvert_elodie_details_original_1824107356
  Световой меч из Звёздных войн RGB в Москве  ;10800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/svetovoy_mech_iz_zvezdnyh_voyn_rgb_v_moskve_1770783255
  Бизиборд  ;5400₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/bizibord_1759480430
  Кровать двухъярусная  ;6500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/krovat_dvuhyarusnaya_1016955218
  Плюшевые медведи 80-220см. Мягкие мишки  ;1190₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/plyushevye_medvedi_80-220sm._myagkie_mishki_905911632
  Школьный ранец  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/shkolnyy_ranets_1764102663
  Дед мороз  ;1₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/ded_moroz_931218431
  Моторы от квадрокоптера  ;6000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/motory_ot_kvadrokoptera_1490909257
  Видеоняня Ramili RV1200  ;27000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/videonyanya_ramili_rv1200_1832332835
  Куклы Ever After High  ;7200₽ ;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kukly_ever_after_high_1769609075
  Игровой набор детской посуды Barbie новый  ;3000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrovoy_nabor_detskoy_posudy_barbie_novyy_1850398020
  Универсальная коляска indigo blues (2 в 1)  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/universalnaya_kolyaska_indigo_blues_2_v_1_1825339615
  Вязаные бусы (слингобусы)  ;800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/vyazanye_busy_slingobusy_1522057886
  Адаптер для автокресла Maxi Cosi для коляски Bumbl  ;540₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/adapter_dlya_avtokresla_maxi_cosi_dlya_kolyaski_bumbl_1831003612
  Продам качели,развивающий коврик,кокон,детская ван  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodam_kachelirazvivayuschiy_kovrikkokondetskaya_van_1833716163
  Коляска детская бу  ;40000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_detskaya_bu_1837087031
  Lego  ;2500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_1628181848
